u v
6.259091857186717123e-01 2.865731462925851236e-01
6.252505010020039666e-01 2.872891649688183446e-01
6.240643693090750510e-01 2.885771543086171897e-01
6.232464929859719005e-01 2.894659989057531968e-01
6.222192128896251173e-01 2.905811623246492559e-01
6.212424849699398344e-01 2.916423736765770824e-01
6.203737249695162603e-01 2.925851703406813220e-01
6.192384769539077682e-01 2.938182971303937574e-01
6.185279142412332121e-01 2.945891783567133881e-01
6.172344689378757021e-01 2.959937772580689685e-01
6.166817895873285549e-01 2.965931863727454543e-01
6.152304609218436360e-01 2.981688221975805630e-01
6.148353600874898461e-01 2.985971943887775204e-01
6.132264529058115698e-01 3.003434402395949721e-01
6.129886350259157179e-01 3.006012024048095865e-01
6.112224448897795037e-01 3.025176398332788397e-01
6.111416238990161620e-01 3.026052104208416527e-01
6.092989470343853631e-01 3.046092184368737743e-01
6.092184368737474376e-01 3.046971146637899031e-01
6.074608637178317005e-01 3.066132264529057849e-01
6.072144288577153715e-01 3.068822017381064304e-01
6.056224632477914538e-01 3.086172344689378511e-01
6.052104208416833053e-01 3.090668501752952269e-01
6.037837562802608193e-01 3.106212424849699172e-01
6.032064128256512392e-01 3.112510701379239686e-01
6.019447537226657596e-01 3.126252505010019833e-01
6.012024048096191731e-01 3.134348719972734898e-01
6.001054667437052403e-01 3.146292585170340494e-01
5.991983967935871069e-01 3.156182663416190470e-01
5.982659067836478828e-01 3.166332665330661156e-01
5.971943887775550408e-01 3.178012639848826204e-01
5.964260855651047910e-01 3.186372745490981817e-01
5.951903807615229747e-01 3.199838759756754580e-01
5.945860151043061981e-01 3.206412825651302478e-01
5.931863727454909085e-01 3.221661136067525133e-01
5.927457077229094651e-01 3.226452905811623140e-01
5.911823647294588424e-01 3.243479884248999801e-01
5.909051760603668546e-01 3.246492985971943801e-01
5.891783567134267763e-01 3.265295122412802953e-01
5.890644330868872736e-01 3.266533066132264462e-01
5.872265914477696747e-01 3.286573146292585124e-01
5.871743486973947102e-01 3.287146074812105634e-01
5.853957025811955539e-01 3.306613226452905785e-01
